source_company_id,business_number,name,master_email,password,address,phone,profile_image_url,membership_status,tier,risk_score,golden_badge_status,created_at,updated_at
1,999-81-00001,한빛오토모빌,demo_company_01@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 101,02-7000-0001,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
2,999-81-00002,서울프라임모터스,demo_company_02@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 102,02-7000-0002,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
3,999-81-00003,드림카갤러리,demo_company_03@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 103,02-7000-0003,,false,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
4,999-81-00004,더원중고차,demo_company_04@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 104,02-7000-0004,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
5,999-81-00005,스마트오토플라자,demo_company_05@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 105,02-7000-0005,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
6,999-81-00006,케이로드모터스,demo_company_06@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 106,02-7000-0006,,false,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
7,999-81-00007,에이스카매매상사,demo_company_07@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 107,02-7000-0007,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
8,999-81-00008,굿모닝오토월드,demo_company_08@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 108,02-7000-0008,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
9,999-81-00009,블루로드모터스,demo_company_09@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 109,02-7000-0009,,false,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
10,999-81-00010,탑기어자동차상사,demo_company_10@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 110,02-7000-0010,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
11,999-81-00011,우리카모터스,demo_company_11@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 111,02-7000-0011,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
12,999-81-00012,뉴웨이오토,demo_company_12@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 112,02-7000-0012,,false,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
13,999-81-00013,스타모터갤러리,demo_company_13@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 113,02-7000-0013,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
14,999-81-00014,로드스타자동차,demo_company_14@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 114,02-7000-0014,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
15,999-81-00015,퍼스트카모터스,demo_company_15@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 115,02-7000-0015,,false,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
16,999-81-00016,그린라이트오토,demo_company_16@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 116,02-7000-0016,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
17,999-81-00017,믿음자동차매매,demo_company_17@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 117,02-7000-0017,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
18,999-81-00018,한결모터스,demo_company_18@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 118,02-7000-0018,,false,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
19,999-81-00019,오토브릿지,demo_company_19@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 119,02-7000-0019,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
20,999-81-00020,프리미엄카하우스,demo_company_20@kosmo.local,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서울특별시 강남구 테헤란로 120,02-7000-0020,,true,NORMAL,,false,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
