source_dealer_id,source_company_id,login_id,password,name,phone,profile_image_url,status,tier,risk_score,created_at,updated_at
1000,14,demo_dealer_1000,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,김민준,010-7000-1000,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1001,10,demo_dealer_1001,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,이서준,010-7000-1001,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1002,7,demo_dealer_1002,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,박도윤,010-7000-1002,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1003,10,demo_dealer_1003,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,최예준,010-7000-1003,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1004,5,demo_dealer_1004,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,정시우,010-7000-1004,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1005,20,demo_dealer_1005,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,강하준,010-7000-1005,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1006,5,demo_dealer_1006,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,조주원,010-7000-1006,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1007,13,demo_dealer_1007,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,윤지호,010-7000-1007,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1008,2,demo_dealer_1008,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,장지후,010-7000-1008,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1009,6,demo_dealer_1009,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,임준우,010-7000-1009,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1010,9,demo_dealer_1010,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,한준서,010-7000-1010,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1011,4,demo_dealer_1011,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,오건우,010-7000-1011,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1012,10,demo_dealer_1012,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,서현우,010-7000-1012,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1013,12,demo_dealer_1013,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,신우진,010-7000-1013,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1014,19,demo_dealer_1014,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,권선우,010-7000-1014,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1015,1,demo_dealer_1015,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,황민재,010-7000-1015,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1016,16,demo_dealer_1016,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,안유준,010-7000-1016,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1017,8,demo_dealer_1017,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,송연우,010-7000-1017,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
1018,3,demo_dealer_1018,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,류정우,010-7000-1018,,ACTIVE,NORMAL,,2026-07-24T12:00:00+09:00,2026-07-24T12:00:00+09:00
