auction_key,vehicle_id,member_email,car_sellingprice,start_time,end_time,status,winning_bid_id,created_at
DEMO-AUCTION-001,DEMO-MEMBER-CAR-001,testuser1@naver.com,12760000,2026-07-27T09:00:00+09:00,2026-07-30T09:00:00+09:00,ACTIVE,,2026-07-27T09:00:00+09:00
DEMO-AUCTION-002,DEMO-MEMBER-CAR-002,testuser2@naver.com,14970000,2026-07-27T09:10:00+09:00,2026-07-30T09:10:00+09:00,ACTIVE,,2026-07-27T09:10:00+09:00
DEMO-AUCTION-003,DEMO-MEMBER-CAR-003,testuser3@naver.com,13650000,2026-07-27T09:20:00+09:00,2026-07-30T09:20:00+09:00,ACTIVE,,2026-07-27T09:20:00+09:00
DEMO-AUCTION-004,DEMO-MEMBER-CAR-004,testuser4@naver.com,12330000,2026-07-27T09:30:00+09:00,2026-07-30T09:30:00+09:00,ACTIVE,,2026-07-27T09:30:00+09:00
DEMO-AUCTION-005,DEMO-MEMBER-CAR-005,testuser5@naver.com,11000000,2026-07-27T09:40:00+09:00,2026-07-30T09:40:00+09:00,ACTIVE,,2026-07-27T09:40:00+09:00
DEMO-AUCTION-006,DEMO-MEMBER-CAR-006,testuser6@naver.com,20870000,2026-07-27T09:50:00+09:00,2026-07-30T09:50:00+09:00,ACTIVE,,2026-07-27T09:50:00+09:00
DEMO-AUCTION-007,DEMO-MEMBER-CAR-007,testuser7@naver.com,13150000,2026-07-27T10:00:00+09:00,2026-07-30T10:00:00+09:00,ACTIVE,,2026-07-27T10:00:00+09:00
DEMO-AUCTION-008,DEMO-MEMBER-CAR-008,testuser8@naver.com,14120000,2026-07-27T10:10:00+09:00,2026-07-30T10:10:00+09:00,ACTIVE,,2026-07-27T10:10:00+09:00
DEMO-AUCTION-009,DEMO-MEMBER-CAR-009,testuser9@naver.com,7190000,2026-07-27T10:20:00+09:00,2026-07-30T10:20:00+09:00,ACTIVE,,2026-07-27T10:20:00+09:00
DEMO-AUCTION-010,DEMO-MEMBER-CAR-010,testuser10@naver.com,5570000,2026-07-27T10:30:00+09:00,2026-07-30T10:30:00+09:00,ACTIVE,,2026-07-27T10:30:00+09:00
