vehicle_id,owner_type,sale_type,seller_type,price_unit,source_dealer_id,dealer_login_id,member_email,year,make,model,option,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice,status,auction_key,auction_status,auction_start_time,auction_end_time,created_at,updated_at
DEMO-DEALER-CAR-007,DEALER,NORMAL,회사딜러,KRW,1098,demo_dealer_1098,,2019,Chrysler,PT Cruiser,"차체자세제어장치(ESC), 통풍시트, 썬루프",해치백,자동,광주광역시,2.8468,77358,갈색,회색,5014124.42,4710000,REGISTERED,,,,,2026-06-23T12:00:00+09:00,2026-06-23T12:00:00+09:00
DEMO-DEALER-CAR-010,DEALER,NORMAL,회사딜러,KRW,1086,demo_dealer_1086,,2007,Infiniti,QX4,차체자세제어장치(ESC),SUV,자동,경상남도,2.1387,168353,흰색,베이지,674391.48,680000,REGISTERED,,,,,2026-06-15T12:00:00+09:00,2026-06-15T12:00:00+09:00
DEMO-DEALER-CAR-011,DEALER,NORMAL,회사딜러,KRW,1098,demo_dealer_1098,,2016,Chevrolet,Silverado 1500,"네비게이션, 통풍시트, 차체자세제어장치(ESC), 열선시트, 썬루프",픽업트럭,자동,서울특별시,2.7162,113957,은색,회색,9197968.6,9470000,REGISTERED,,,,,2026-05-14T12:00:00+09:00,2026-06-16T12:00:00+09:00
DEMO-DEALER-CAR-012,DEALER,NORMAL,회사딜러,KRW,1089,demo_dealer_1089,,2022,Honda,Accord,,세단,자동,경기도,3.2272,82196,회색,갈색,10978718.45,11640000,REGISTERED,,,,,2026-06-02T12:00:00+09:00,2026-06-02T12:00:00+09:00
DEMO-DEALER-CAR-013,DEALER,NORMAL,회사딜러,KRW,1084,demo_dealer_1084,,2021,GMC,Acadia,"네비게이션, 통풍시트",SUV,자동,인천광역시,3.8376,62595,파랑,검정,18884815.35,17750000,REGISTERED,,,,,2026-06-21T12:00:00+09:00,2026-06-21T12:00:00+09:00
DEMO-DEALER-CAR-016,DEALER,NORMAL,회사딜러,KRW,1083,demo_dealer_1083,,2013,Toyota,Corolla,"차체자세제어장치(ESC), 네비게이션, 통풍시트, 열선시트",세단,자동,대구광역시,2.2197,258959,진주색,갈색,1657138.1,1670000,REGISTERED,,,,,2026-06-21T12:00:00+09:00,2026-06-21T12:00:00+09:00
DEMO-DEALER-CAR-017,DEALER,NORMAL,회사딜러,KRW,1085,demo_dealer_1085,,2022,BMW,X5,통풍시트,SUV,자동,광주광역시,3.8906,53764,검정,검정,32242340.63,33210000,REGISTERED,,,,,2026-06-21T12:00:00+09:00,2026-06-21T12:00:00+09:00
DEMO-DEALER-CAR-018,DEALER,NORMAL,회사딜러,KRW,1090,demo_dealer_1090,,2025,Cadillac,XTS,"네비게이션, 차체자세제어장치(ESC), 열선시트, 통풍시트",세단,자동,울산광역시,3.696,14426,흰색,베이지,33603729.36,35620000,REGISTERED,,,,,2026-07-06T12:00:00+09:00,2026-07-06T12:00:00+09:00
DEMO-DEALER-CAR-020,DEALER,NORMAL,회사딜러,KRW,1095,demo_dealer_1095,,2017,Ford,Explorer Sport Trac,"차체자세제어장치(ESC), 통풍시트, 썬루프",픽업트럭,자동,경상남도,3.2171,90091,회색,갈색,10111879.21,9810000,REGISTERED,,,,,2026-06-22T12:00:00+09:00,2026-06-22T12:00:00+09:00
DEMO-DEALER-CAR-021,DEALER,NORMAL,회사딜러,KRW,1082,demo_dealer_1082,,2021,Mazda,CX-9,"열선시트, 통풍시트, 네비게이션, 썬루프",SUV,자동,서울특별시,3.5086,33348,파랑,검정,17873464.71,17690000,REGISTERED,,,,,2026-06-14T12:00:00+09:00,2026-06-14T12:00:00+09:00
DEMO-DEALER-CAR-022,DEALER,NORMAL,회사딜러,KRW,1087,demo_dealer_1087,,2022,Kia,Sorento,차체자세제어장치(ESC),SUV,자동,경기도,4.2017,13582,빨강,베이지,17200186.34,17370000,REGISTERED,,,,,2026-06-22T12:00:00+09:00,2026-06-22T12:00:00+09:00
DEMO-DEALER-CAR-026,DEALER,NORMAL,회사딜러,KRW,1082,demo_dealer_1082,,2018,Honda,Civic,,세단,자동,대구광역시,2.6413,128504,흰색,베이지,5460465.33,5300000,REGISTERED,,,,,2026-04-20T12:00:00+09:00,2026-06-08T12:00:00+09:00
DEMO-DEALER-CAR-027,DEALER,NORMAL,회사딜러,KRW,1087,demo_dealer_1087,,2021,Mazda,Mazda3,,해치백,자동,광주광역시,3.4142,33960,은색,회색,10244560.97,10140000,REGISTERED,,,,,2026-04-27T12:00:00+09:00,2026-06-15T12:00:00+09:00
DEMO-DEALER-CAR-028,DEALER,NORMAL,회사딜러,KRW,1092,demo_dealer_1092,,2024,Mercedes-Benz,CLA-Class,"썬루프, 통풍시트, 열선시트",세단,자동,울산광역시,4.2591,13039,회색,갈색,31453495.56,31770000,REGISTERED,,,,,2026-06-22T12:00:00+09:00,2026-06-22T12:00:00+09:00
