email,login_id,password,name,phone,profile_image_url,role,has_car,owned_car_make,owned_car_model,owned_car_odometer,owned_car_year,created_at,updated_at
testuser1@naver.com,demo_member_01,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,김하늘,010-8100-0001,,MEMBER,true,Hyundai,Sonata,19422,2024,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
testuser2@naver.com,demo_member_02,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,이도현,010-8100-0002,,MEMBER,true,Kia,Sorento,11782,2022,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
testuser3@naver.com,demo_member_03,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,박서연,010-8100-0003,,MEMBER,true,Toyota,Camry,4952,2022,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
testuser4@naver.com,demo_member_04,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,최민재,010-8100-0004,,MEMBER,true,Honda,Accord,29964,2022,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
testuser5@naver.com,demo_member_05,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,정지우,010-8100-0005,,MEMBER,true,BMW,3 Series,68392,2018,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
testuser6@naver.com,demo_member_06,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,강현우,010-8100-0006,,MEMBER,true,Mercedes-Benz,C-Class,20014,2022,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
testuser7@naver.com,demo_member_07,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,조수빈,010-8100-0007,,MEMBER,true,Volkswagen,Passat,34957,2024,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
testuser8@naver.com,demo_member_08,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,윤서준,010-8100-0008,,MEMBER,true,Nissan,Rogue,31705,2022,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
testuser9@naver.com,demo_member_09,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,장예린,010-8100-0009,,MEMBER,true,Chevrolet,Cruze,70449,2022,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
testuser10@naver.com,demo_member_10,$2a$10$26YWGxXYqYIW8EF0RJ/De.K1aOUO2cH0AiKJWiWufog0V5vRSrBvC,임도윤,010-8100-0010,,MEMBER,true,Ford,Escape,101795,2018,2026-07-24T13:00:00+09:00,2026-07-24T13:00:00+09:00
